Order_Number,Order_Date,Currency,Condition,Color,Description,Part_Number,Quantity,Original_Unit_Price,Overhead_Percentage,Overhead_Amount,Adjusted_Unit_Price,Original_Total,Adjusted_Total,Weight,Order_Subtotal,Shipping,Insurance,Additional_Charges,Credit,Grand_Total
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Light Bluish Gray,"Container, Box 2 x 2 x 1 - Top Opening with Raised Inner Bottom",Unknown,5,0.6,26.11,0.1567,0.7567,3.0,3.78,5.65g,41.78,7.92,0.0,2.99,0.0,51.59
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Black,Dish 8 x 8 Inverted (Radar) - Solid,22385pb292,5,2.448,26.11,0.6392,3.0872,12.24,15.44,22.60g,41.78,7.92,0.0,2.99,0.0,51.59
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Light Bluish Gray,"Tile, Round 1 x 1 with Black Gauge",98138pb175,10,0.039,26.11,0.0102,0.0492,0.39,0.49,1.20g,41.78,7.92,0.0,2.99,0.0,51.59
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Black,"Tile, Round 2 x 4 Oval with Vehicle",66857pb012,5,0.767,26.11,0.2003,0.9673,3.83,4.84,3.90g,41.78,7.92,0.0,2.99,0.0,51.59
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Trans-Clear,,5497,6,2.517,26.11,0.6572,3.1742,15.1,19.05,36.00g,41.78,7.92,0.0,2.99,0.0,51.59
29062495,"Aug 9, 2025 20:56 Order Total: US $41.78",US,New,Trans-Clear,,5497,6,2.517,26.11,0.6572,3.1742,15.1,19.05,36.00g,41.78,7.92,0.0,2.99,0.0,51.59
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Trans-Clear,,7134,31,0.1501,25.4,0.0381,0.1882,4.65,5.83,19.53g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Dark Azure,"Slope, Curved 1 x 2 with Bottom Stud",37352,30,0.054,25.4,0.0137,0.0677,1.62,2.03,18.90g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Medium Nougat,"Slope, Curved 1 x 2 with Bottom Stud",37352,10,0.0975,25.4,0.0248,0.1223,0.97,1.22,6.30g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Reddish Brown,"Slope, Curved 1 x 2 with Bottom Stud",37352,10,0.0208,25.4,0.0053,0.0261,0.21,0.26,6.30g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Yellow,"Slope, Curved 1 x 2 with Bottom Stud",5841,30,0.1391,25.4,0.0353,0.1744,4.17,5.23,18.90g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Yellow,,76797,24,0.312,25.4,0.0792,0.3912,7.49,9.39,31.92g,23.62,4.5,0.0,1.5,0.0,29.62
29102940,"Aug 14, 2025 17:43 Order Total: AU $23.62",AU,New,Yellow,,76797,24,0.312,25.4,0.0792,0.3912,7.49,9.39,31.92g,23.62,4.5,0.0,1.5,0.0,29.62
29154233,"Aug 20, 2025 21:54 Order Total: AU $115.17",AU,New,Red,"Barb / Claw / Horn / Tooth with Clip,",3171,30,0.071,10.85,0.0077,0.0787,2.13,2.36,10.20g,115.17,12.5,0.0,0.0,0.0,127.67
29154233,"Aug 20, 2025 21:54 Order Total: AU $115.17",AU,New,Reddish Brown,Bar 7 x 3 with 2 Open O Clips,5630,8,0.288,10.85,0.0312,0.3192,2.3,2.55,17.36g,115.17,12.5,0.0,0.0,0.0,127.67
29154233,"Aug 20, 2025 21:54 Order Total: AU $115.17",AU,New,Dark Tan,"Brick, Round 4 x 4 x 2/3 Dome Top",65138,16,0.419,10.85,0.0455,0.4645,6.7,7.43,29.12g,115.17,12.5,0.0,0.0,0.0,127.67
29154233,"Aug 20, 2025 21:54 Order Total: AU $115.17",AU,New,Black,Cylinder Half 2 x 4 x 5 with 1 x 2,85941,12,0.618,10.85,0.0671,0.6851,7.42,8.22,49.20g,115.17,12.5,0.0,0.0,0.0,127.67
29154233,"Aug 20, 2025 21:54 Order Total: AU $115.17",AU,New,Red,Cylinder Half 2 x 4 x 5 with 1 x 2,85941,12,0.616,10.85,0.0668,0.6828,7.39,8.19,49.20g,115.17,12.5,0.0,0.0,0.0,127.67
