Name,Additional R,QTY,Original AUD $,New AUD $
Red Barb/Claw/Horn/Tooth with Clip,10.85%,30,0.071,0.0787
Reddish Brown Bar 7x3 with 2 Open O Clips,10.85%,8,0.288,0.3193
Dark Tan Brick Round 4x4x2/3 Dome Top,10.85%,16,0.419,0.4645
Black Cylinder Half 2x4x5 with Cutout,10.85%,12,0.618,0.6851
Red Cylinder Half 2x4x5 with Cutout,10.85%,12,0.616,0.6829
White Dish 4x4 Inverted with Clock Pattern,10.85%,2,1.799,1.9943
Black Dish 8x8 Inverted with Batman Logo,10.85%,11,2.784,3.0862
Dark Blue Flag 4x1 Wave Right,10.85%,10,0.211,0.2339
Reddish Brown Minifigure Weapon Holder Ring,10.85%,20,0.593,0.6574
Dark Orange Plate 2x3,10.85%,40,0.132,0.1463
Medium Nougat Plate 6x12,10.85%,4,0.39,0.4323
Trans-Orange Plate Modified 2x2 with Groove,10.85%,50,0.107,0.1186
Dark Tan Plate Round 1x1 with Open Stud,10.85%,100,0.041,0.0454
Dark Azure Plate Round Corner 5x5 Macaroni,10.85%,16,0.076,0.0842
Dark Blue Plate Round Corner 5x5 Macaroni,10.85%,16,0.172,0.1907
White Slope 45 2x1 Double with Bottom Stud,10.85%,20,0.146,0.1618
Tan Tile 1x2 with Door Pattern,10.85%,20,0.23,0.255
Dark Blue Tile Modified 1x3 Inverted,10.85%,30,0.131,0.1452
Pearl Gold Tile Round 1x1 with Dragon Pattern,10.85%,20,0.466,0.5166
,,,,
SUMMARY,,,,
Subtotal,,437,115.17,
Shipping,,,12.5,
Total Additional Costs,10.85%,,12.5,
Grand Total,,,,127.67
